Min,Max,9 am_Temp,9 am_RH,9 am_Cld,9 am_Spd,9 am_MSLP,3 pm_Temp,3 pm_RH,3 pm_Cld,3 pm_Spd,3 pm_MSLP
14.9,27.1,19.3,75,7,11,1013.9,25.4,53,5,18,1011.4
14.2,28.1,18.7,76,6,8,1017.1,26.4,50,5,16,1014.3
10.7,27.4,16.2,78,6,6,1021.5,26.0,37,4,15,1018.5
5.8,20.8,12.2,81,5,9,1022.3,19.6,45,6,16,1019.4
2.6,16.8,8.5,87,6,6,1028.8,15.8,55,6,15,1025.9
0.1,12.9,5.3,92,6,8,1020.5,11.9,57,5,16,1018.3
0.4,12.5,5.9,84,6,13,1023.7,11.1,60,6,19,1021.5
2.5,16.7,8.5,84,5,11,1023.1,15.3,52,4,20,1020.0
3.6,18.6,11.4,62,5,18,1021.8,16.9,39,4,27,1019.1
5.9,22.3,13.0,67,5,10,1019.7,20.7,39,6,21,1016.5
